year,month,rainfall,date
1937,1,117.8,1937-01-01
1937,2,61.8,1937-02-01
1937,3,301.0,1937-03-01
1937,4,159.8,1937-04-01
1937,5,62.2,1937-05-01
1937,6,78.6,1937-06-01
1937,7,18.2,1937-07-01
1937,8,24.6,1937-08-01
1937,9,109.7,1937-09-01
1937,10,211.2,1937-10-01
1937,11,125.3,1937-11-01
1937,12,84.7,1937-12-01
1938,1,3.2,1938-01-01
1938,2,11.3,1938-02-01
1938,3,0.1,1938-03-01
1938,4,12.2,1938-04-01
1938,5,131.9,1938-05-01
1938,6,37.6,1938-06-01
1938,7,8.4,1938-07-01
1938,8,54.6,1938-08-01
1938,9,358.6,1938-09-01
1938,10,108.0,1938-10-01
1938,11,131.2,1938-11-01
1938,12,48.0,1938-12-01
1939,1,112.0,1939-01-01
1939,2,87.2,1939-02-01
1939,3,0.4,1939-03-01
1939,4,62.4,1939-04-01
1939,5,104.8,1939-05-01
1939,6,25.6,1939-06-01
1939,7,0.6,1939-07-01
1939,8,77.4,1939-08-01
1939,9,81.4,1939-09-01
1939,10,81.8,1939-10-01
1939,11,58.6,1939-11-01
1939,12,63.4,1939-12-01
1940,1,14.4,1940-01-01
1940,2,41.8,1940-02-01
1940,3,41.6,1940-03-01
1940,4,20.4,1940-04-01
1940,5,188.6,1940-05-01
1940,6,83.0,1940-06-01
1940,7,10.8,1940-07-01
1940,8,88.4,1940-08-01
1940,9,88.0,1940-09-01
1940,10,83.2,1940-10-01
1940,11,109.3,1940-11-01
1940,12,1.8,1940-12-01
1941,1,117.8,1941-01-01
1941,2,168.0,1941-02-01
1941,3,75.6,1941-03-01
1941,4,191.1,1941-04-01
1941,5,159.6,1941-05-01
1941,6,61.1,1941-06-01
1941,7,51.8,1941-07-01
1941,8,6.4,1941-08-01
1941,9,64.5,1941-09-01
1941,10,27.4,1941-10-01
1941,11,119.3,1941-11-01
1941,12,0.0,1941-12-01
1942,1,10.7,1942-01-01
1942,2,49.2,1942-02-01
1942,3,45.7,1942-03-01
1942,4,91.3,1942-04-01
1942,5,139.7,1942-05-01
1942,6,39.2,1942-06-01
1942,7,29.4,1942-07-01
1942,8,112.1,1942-08-01
1942,9,118.9,1942-09-01
1943,1,60.6,1943-01-01
1943,2,26.6,1943-02-01
1943,3,85.8,1943-03-01
1943,4,98.0,1943-04-01
1943,5,111.4,1943-05-01
1943,6,4.8,1943-06-01
1943,7,24.6,1943-07-01
1943,8,36.0,1943-08-01
1943,9,63.2,1943-09-01
1943,10,158.6,1943-10-01
1943,11,60.2,1943-11-01
1943,12,148.2,1943-12-01
1944,1,0.0,1944-01-01
1944,2,23.9,1944-02-01
1944,7,22.8,1944-07-01
1944,8,42.4,1944-08-01
1944,9,93.0,1944-09-01
1944,10,289.0,1944-10-01
1944,11,17.6,1944-11-01
1944,12,21.4,1944-12-01
1945,1,11.2,1945-01-01
1945,2,1.4,1945-02-01
1945,3,42.6,1945-03-01
1945,4,25.8,1945-04-01
1945,5,0.4,1945-05-01
1945,6,0.0,1945-06-01
1945,7,3.2,1945-07-01
1945,8,138.4,1945-08-01
1945,9,13.6,1945-09-01
1945,10,205.8,1945-10-01
1945,11,158.4,1945-11-01
1945,12,253.6,1945-12-01
1946,1,19.0,1946-01-01
1946,2,8.8,1946-02-01
1946,4,91.2,1946-04-01
1946,5,127.4,1946-05-01
1946,6,12.2,1946-06-01
1946,7,27.6,1946-07-01
1946,8,104.0,1946-08-01
1946,9,54.4,1946-09-01
1946,10,46.8,1946-10-01
1946,11,77.2,1946-11-01
1946,12,20.6,1946-12-01
1947,1,57.8,1947-01-01
1947,2,68.2,1947-02-01
1947,3,79.4,1947-03-01
1947,4,34.8,1947-04-01
1947,5,66.6,1947-05-01
1947,6,7.8,1947-06-01
1947,7,7.8,1947-07-01
1947,8,10.8,1947-08-01
1947,9,216.4,1947-09-01
1947,10,140.2,1947-10-01
1947,11,66.6,1947-11-01
1947,12,123.8,1947-12-01
1948,1,118.4,1948-01-01
1948,2,10.0,1948-02-01
1948,3,17.6,1948-03-01
1948,4,97.2,1948-04-01
1948,5,167.1,1948-05-01
1948,6,2.0,1948-06-01
1948,7,34.8,1948-07-01
1948,8,57.0,1948-08-01
1948,9,112.4,1948-09-01
1948,10,149.2,1948-10-01
1948,11,2.6,1948-11-01
1948,12,38.2,1948-12-01
1949,1,166.0,1949-01-01
1949,2,16.6,1949-02-01
1949,3,23.4,1949-03-01
1949,4,84.4,1949-04-01
1949,5,112.2,1949-05-01
1949,6,36.4,1949-06-01
1949,7,34.2,1949-07-01
1949,8,0.0,1949-08-01
1949,9,12.6,1949-09-01
1949,10,28.4,1949-10-01
1949,11,131.6,1949-11-01
1949,12,35.8,1949-12-01
1950,1,5.8,1950-01-01
1950,2,75.7,1950-02-01
1950,3,43.0,1950-03-01
1950,4,217.8,1950-04-01
1950,5,41.8,1950-05-01
1950,6,2.6,1950-06-01
1950,7,1.2,1950-07-01
1950,8,0.0,1950-08-01
1950,9,63.4,1950-09-01
1950,10,66.2,1950-10-01
1950,11,113.8,1950-11-01
1950,12,119.6,1950-12-01
1951,1,67.2,1951-01-01
1951,2,143.6,1951-02-01
1951,3,171.6,1951-03-01
1951,4,49.0,1951-04-01
1951,5,148.2,1951-05-01
1951,6,0.0,1951-06-01
1951,7,15.0,1951-07-01
1951,8,6.8,1951-08-01
1951,9,99.65,1951-09-01
1951,10,202.8,1951-10-01
1951,11,365.5,1951-11-01
1951,12,65.0,1951-12-01
1952,1,13.350000000000001,1952-01-01
1952,2,6.85,1952-02-01
1952,3,42.9,1952-03-01
1952,4,188.25,1952-04-01
1952,5,124.0,1952-05-01
1952,6,1.2,1952-06-01
1952,7,76.0,1952-07-01
1952,8,28.2,1952-08-01
1952,9,92.8,1952-09-01
1952,10,75.4,1952-10-01
1952,11,68.1,1952-11-01
1952,12,32.85,1952-12-01
1953,1,93.0,1953-01-01
1953,2,5.6,1953-02-01
1953,3,12.8,1953-03-01
1953,4,34.4,1953-04-01
1953,5,59.8,1953-05-01
1953,6,92.0,1953-06-01
1953,7,40.0,1953-07-01
1953,8,84.6,1953-08-01
1953,9,91.85,1953-09-01
1953,10,208.5,1953-10-01
1953,11,14.600000000000001,1953-11-01
1953,12,87.4,1953-12-01
1954,1,12.45,1954-01-01
1954,2,38.150000000000006,1954-02-01
1954,3,70.2,1954-03-01
1954,4,43.099999999999994,1954-04-01
1954,5,242.05,1954-05-01
1954,6,27.4,1954-06-01
1954,7,48.6,1954-07-01
1954,8,70.4,1954-08-01
1954,9,11.6,1954-09-01
1954,10,55.7,1954-10-01
1954,11,129.75,1954-11-01
1954,12,160.35,1954-12-01
1955,1,139.3,1955-01-01
1955,2,141.3,1955-02-01
1955,3,47.0,1955-03-01
1955,4,0.0,1955-04-01
1955,5,23.2,1955-05-01
1955,6,61.8,1955-06-01
1955,7,65.8,1955-07-01
