year,month,rainfall,date
1955,3,85.0,1955-03-01
1955,4,0.4,1955-04-01
1955,5,73.6,1955-05-01
1955,6,54.8,1955-06-01
1955,7,39.8,1955-07-01
1955,8,15.7,1955-08-01
1955,9,57.3,1955-09-01
1955,10,124.1,1955-10-01
1955,11,125.5,1955-11-01
1955,12,246.8,1955-12-01
1956,1,165.5,1956-01-01
1956,2,43.849999999999994,1956-02-01
1956,3,77.6,1956-03-01
1956,4,213.65,1956-04-01
1956,5,60.65,1956-05-01
1956,6,57.1,1956-06-01
1956,7,25.4,1956-07-01
1956,8,11.0,1956-08-01
1956,9,82.4,1956-09-01
1956,10,72.35,1956-10-01
1956,11,110.19999999999999,1956-11-01
1956,12,95.85,1956-12-01
1957,1,136.8,1957-01-01
1957,2,149.4,1957-02-01
1957,3,68.4,1957-03-01
1957,4,122.4,1957-04-01
1957,5,120.6,1957-05-01
1957,6,47.2,1957-06-01
1957,7,59.4,1957-07-01
1957,8,13.8,1957-08-01
1957,9,40.0,1957-09-01
1957,10,75.4,1957-10-01
1957,11,227.4,1957-11-01
1957,12,157.4,1957-12-01
1958,1,92.8,1958-01-01
1958,2,54.2,1958-02-01
1958,3,83.0,1958-03-01
1958,4,118.0,1958-04-01
1958,5,34.8,1958-05-01
1958,6,84.85,1958-06-01
1958,7,24.9,1958-07-01
1958,8,60.25,1958-08-01
1958,9,64.30000000000001,1958-09-01
1958,10,124.4,1958-10-01
1958,11,69.7,1958-11-01
1958,12,318.95000000000005,1958-12-01
1959,1,78.4,1959-01-01
1959,2,18.75,1959-02-01
1959,3,75.85,1959-03-01
1959,4,108.55,1959-04-01
1959,5,62.550000000000004,1959-05-01
1959,6,27.8,1959-06-01
1959,7,55.2,1959-07-01
1959,8,160.75,1959-08-01
1959,9,58.650000000000006,1959-09-01
1959,10,186.85,1959-10-01
1959,11,217.75,1959-11-01
1959,12,357.0,1959-12-01
1960,1,73.2,1960-01-01
1960,2,243.8,1960-02-01
1960,3,199.8,1960-03-01
1960,4,35.4,1960-04-01
1960,5,7.0,1960-05-01
1960,6,89.8,1960-06-01
1960,7,52.0,1960-07-01
1960,8,21.6,1960-08-01
1960,9,177.4,1960-09-01
1960,10,240.45,1960-10-01
1960,11,283.29999999999995,1960-11-01
1960,12,181.4,1960-12-01
1961,1,201.25,1961-01-01
1961,2,44.55,1961-02-01
1961,3,37.8,1961-03-01
1961,4,102.75,1961-04-01
1961,5,92.44999999999999,1961-05-01
1961,6,95.95,1961-06-01
1961,7,20.0,1961-07-01
1961,8,9.8,1961-08-01
1961,9,92.7,1961-09-01
1961,10,239.75,1961-10-01
1961,11,282.4,1961-11-01
1961,12,112.55,1961-12-01
1962,1,73.55000000000001,1962-01-01
1962,2,63.35,1962-02-01
1962,3,127.65,1962-03-01
1962,4,147.39999999999998,1962-04-01
1962,5,66.4,1962-05-01
1962,6,17.5,1962-06-01
1962,7,12.5,1962-07-01
1962,8,0.6,1962-08-01
1962,9,98.6,1962-09-01
1962,10,132.8,1962-10-01
1962,11,210.6,1962-11-01
1962,12,105.3,1962-12-01
1963,1,177.9,1963-01-01
1963,2,100.4,1963-02-01
1963,3,133.0,1963-03-01
1963,4,108.2,1963-04-01
1963,5,30.2,1963-05-01
1963,6,69.4,1963-06-01
1963,7,35.8,1963-07-01
1963,8,124.2,1963-08-01
1963,9,205.4,1963-09-01
1963,10,103.94999999999999,1963-10-01
1963,11,229.9,1963-11-01
1963,12,86.2,1963-12-01
1964,1,32.0,1964-01-01
1964,2,203.8,1964-02-01
1964,3,176.75,1964-03-01
1964,4,156.95,1964-04-01
1964,5,30.299999999999997,1964-05-01
1964,6,126.15,1964-06-01
1964,7,72.5,1964-07-01
1964,8,33.8,1964-08-01
1964,9,16.2,1964-09-01
1964,10,319.25,1964-10-01
1964,11,57.95,1964-11-01
1964,12,191.8,1964-12-01
1965,1,118.8,1965-01-01
