year	month	rainfall
1995	Apr	146.4
1995	May	113.4
1995	Jun	93.0
1995	Jul	9.6
1995	Aug	58.8
1995	Sep	178.0
1995	Oct	186.4
1995	Nov	164.4
1995	Dec	210.0
1996	Jan	373.4
1996	Feb	215.4
1996	Mar 	16.8
1996	Apr	155.6
1996	May	155.0
1996	Jun	135.8
1996	Jul	27.6
1996	Aug	88.2
1996	Sep	184.8
1996	Oct	138.8
1996	Nov	289.8
1996	Dec	
1997	Jan	
1997	Feb	37.0
1997	Mar 	14.2
1997	Apr	146.0
1997	May	44.4
1997	Jun	216.4
1997	Jul	27.2
1997	Aug	34.2
1997	Sep	61.6
1997	Oct	88.8
1997	Nov	397.0
1997	Dec	405.4
1998	Jan	226.6
1998	Feb	41.4
1998	Mar 	19.4
1998	Apr	228.4
1998	May	85.8
1998	Jun	63.4
1998	Jul	5.4
1998	Aug	30.0
1998	Sep	276.8
1998	Oct	402.4
1998	Nov	104.4
1998	Dec	56.4
1999	Jan	215.6
1999	Feb	40.2
1999	Mar 	231.4
1999	Apr	195.0
1999	May	35.0
1999	Jun	86.4
1999	Jul	40.6
1999	Aug	37.2
1999	Sep	161.4
1999	Oct	345.0
1999	Nov	158.2
1999	Dec	194.8
2000	Jan	23.0
2000	Feb	5.2
2000	Mar 	186.8
2000	Apr	129.2
2000	May	31.4
2000	Jun	97.0
2000	Jul	128.0
2000	Aug	42.4
2000	Sep	129.4
2000	Oct	154.6
2000	Nov	741.4
2000	Dec	223.4
2001	Jan	334.2
2001	Feb	119.8
2001	Mar 	452.2
2001	Apr	126.0
2001	May	111.2
2001	Jun	9.0
2001	Jul	
2001	Aug	33.4
2001	Sep	
2001	Oct	215.0
2001	Nov	112.0
2001	Dec	22.0
2002	Jan	60.4
2002	Feb	159.4
2002	Mar 	43.2
2002	Apr	
2002	May	152.4
2002	Jun	53.4
2002	Jul	95.8
2002	Aug	140.2
2002	Sep	174.4
2002	Oct	149.0
2002	Nov	376.2
2002	Dec	250.6
2003	Jan	189.6
2003	Feb	16.2
2003	Mar 	15.8
2003	Apr	177.6
2003	May	9.2
2003	Jun	19.8
2003	Jul	
2003	Aug	66.6
2003	Sep	59.4
2003	Oct	191.0
2003	Nov	408.6
2003	Dec	285.6
2004	Jan	108.2
2004	Feb	174.4
2004	Mar 	142.0
2004	Apr	36.4
2004	May	166.6
2004	Jun	42.6
2004	Jul	30.6
2004	Aug	31.6
2004	Sep	218.0
2004	Oct	291.2
2004	Nov	154.6
2004	Dec	143.8
2005	Jan	45.6
2005	Feb	42.8
2005	Mar 	79.0
2005	Apr	124.8
2005	May	68.8
2005	Jun	22.6
2005	Jul	50.8
2005	Aug	46.0
2005	Sep	47.8
2005	Oct	87.0
2005	Nov	143.8
2005	Dec	271.0
2006	Jan	171.2
2006	Feb	133.8
2006	Mar 	188.6
2006	Apr	33.4
2006	May	25.2
2006	Jun	11.6
2006	Jul	53.4
2006	Aug	122.0
2006	Sep	163.2
2006	Oct	190.4
2006	Nov	170.0
2006	Dec	266.2
2007	Jan	189.2
2007	Feb	180.8
2007	Mar 	55.0
2007	Apr	16.6
2007	May	33.2
2007	Jun	49.0
2007	Jul	22.2
2007	Aug	80.6
2007	Sep	65.0
2007	Oct	139.8
2007	Nov	247.4
2007	Dec	60.0
2008	Jan	258.8
2008	Feb	95.6
2008	Mar 	127.2
2008	Apr	275.4
2008	May	118.6
2008	Jun	176.6
2008	Jul	40.2
2008	Aug	12.4
2008	Sep	54.6
2008	Oct	226.2
2008	Nov	357.8
2008	Dec	380.6
2009	Jan	0.0
2009	Feb	309.0
2009	Mar 	232.8
2009	Apr	170.6
2009	May	10.2
2009	Jun	18.8
2009	Jul	28.6
2009	Aug	22.6
2009	Sep	41.0
2009	Oct	103.4
2009	Nov	287.6
2009	Dec	652.4
2010	Jan	154.4
2010	Feb	275.8
2010	Mar 	121.8
2010	Apr	62.2
2010	May	308.0
2010	Jun	154.8
2010	Jul	113.0
2010	Aug	140.2
2010	Sep	368.4
2010	Oct	165.8
2010	Nov	743.8
2010	Dec	454.4
