year	month	rainfall
1973	May	23.9
1973	Jun	129.3
1973	Jul	19.7
1973	Aug	33.7
1973	Sep	147.3
1973	Oct	156.3
1973	Nov	16.5
1973	Dec	160.9
1974	Jan	177.8
1974	Feb	276.0
1974	Mar 	103.6
1974	Apr	167.1
1974	May	45.4
1974	Jun	84.4
1974	Jul	2.4
1974	Aug	29.5
1974	Sep	120.4
1974	Oct	175.2
1974	Nov	189.2
1974	Dec	49.9
1975	Jan	222.2
1975	Feb	142.8
1975	Mar 	236.4
1975	Apr	164.0
1975	May	187.6
1975	Jun	193.6
1975	Jul	0.5
1975	Aug	114.5
1975	Sep	164.4
1975	Oct	153.9
1975	Nov	246.9
1975	Dec	243.8
1976	Jan	34.8
1976	Feb	85.2
1976	Mar 	25.7
1976	Apr	90.3
1976	May	56.7
1976	Jun	2.4
1976	Jul	61.7
1976	Aug	137.4
1976	Sep	132.1
1976	Oct	258.3
1976	Nov	243.1
1976	Dec	354.9
1977	Jan	418.5
1977	Feb	325.6
1977	Mar 	181.2
1977	Apr	46.4
1977	May	183.2
1977	Jun	110.8
1977	Jul	22.8
1977	Aug	
1977	Sep	
1977	Oct	
1977	Nov	
1977	Dec	226.9
1978	Jan	261.2
1978	Feb	225.9
1978	Mar 	65.3
1978	Apr	193.4
1978	May	129.1
1978	Jun	66.2
1978	Jul	22.4
1978	Aug	15.0
1978	Sep	16.3
1978	Oct	224.1
1978	Nov	63.8
1978	Dec	208.6
1979	Jan	492.6
1979	Feb	233.5
1979	Mar 	296.2
1979	Apr	150.8
1979	May	13.2
1979	Jun	21.1
1979	Jul	32.0
1979	Aug	50.3
1979	Sep	258.2
1979	Oct	351.4
1979	Nov	105.2
1979	Dec	255.9
1980	Jan	112.0
1980	Feb	98.2
1980	Mar 	251.1
1980	Apr	51.5
1980	May	131.5
1980	Jun	82.9
1980	Jul	23.8
1980	Aug	72.3
1980	Sep	17.1
1980	Oct	369.2
1980	Nov	189.9
1980	Dec	57.1
1981	Jan	19.0
1981	Feb	35.4
1981	Mar 	132.4
1981	Apr	55.8
1981	May	110.1
1981	Jun	17.7
1981	Jul	26.7
1981	Aug	34.4
1981	Sep	153.0
1981	Oct	186.7
1981	Nov	24.5
1981	Dec	229.6
1982	Jan	135.1
1982	Feb	33.0
1982	Mar 	130.4
1982	Apr	8.6
1982	May	166.1
1982	Jun	11.5
1982	Jul	27.4
1982	Aug	75.3
1982	Sep	60.9
1982	Oct	394.1
1982	Nov	271.6
1982	Dec	215.3
1983	Jan	27.7
1983	Feb	115.0
1983	Mar 	213.4
1983	Apr	150.4
1983	May	77.9
1983	Jun	45.0
1983	Jul	16.8
1983	Aug	90.3
1983	Sep	30.2
1983	Oct	125.6
1983	Nov	57.6
1983	Dec	359.3
1984	Jan	188.0
1984	Feb	128.2
1984	Mar 	80.4
1984	Apr	106.0
1984	May	239.2
1984	Jun	118.9
1984	Jul	1.5
1984	Aug	171.9
1984	Sep	77.6
1984	Oct	114.6
1984	Nov	174.4
1984	Dec	97.8
1985	Jan	295.5
1985	Feb	74.2
1985	Mar 	289.2
1985	Apr	22.0
1985	May	134.2
1985	Jun	88.9
1985	Jul	0.2
1985	Aug	43.3
1985	Sep	30.0
1985	Oct	25.2
1985	Nov	218.9
1985	Dec	141.3
1986	Jan	309.0
1986	Feb	209.6
1986	Mar 	155.0
1986	Apr	170.2
1986	May	5.9
1986	Jun	39.7
1986	Jul	71.5
1986	Aug	8.5
1986	Sep	92.9
1986	Oct	40.2
1986	Nov	170.3
1986	Dec	85.6
1987	Jan	210.0
1987	Feb	200.4
1987	Mar 	58.2
1987	Apr	115.6
1987	May	55.4
1987	Jun	56.6
1987	Jul	32.8
1987	Aug	54.0
1987	Sep	6.0
1987	Oct	306.2
1987	Nov	163.0
1987	Dec	126.0
1988	Jan	292.6
1988	Feb	162.6
1988	Mar 	116.5
1988	Apr	133.5
1988	May	123.2
1988	Jun	83.6
1988	Jul	15.7
1988	Aug	6.3
1988	Sep	38.8
1988	Oct	101.5
1988	Nov	21.9
1988	Dec	130.7
1989	Jan	18.2
1989	Feb	98.8
1989	Mar 	45.1
1989	Apr	386.7
1989	May	27.6
1989	Jun	40.1
1989	Jul	7.7
1989	Aug	75.4
1989	Sep	121.8
1989	Oct	67.2
1989	Nov	180.1
1989	Dec	91.6
